Name,Instrument,Teachers,Schools,Competitions,Festivals,Chamber Groups,Chamber Group Partners,When Began Current
David Taylor,Violinist,David Taylor Sr.; Margaret Randall; Rafael Druian; Ivan Galamian; Dorothy DeLay,Cleveland Institute of Music; Juilliard School,,Ravinia Festival,Pressenda Trio,Gary Stucka; Andrea Swan,1979
Yuan-Qing Yu,violinist,Daniel Barenboim,Northwestern University; Roosevelt University; Southern Methodist University,,Brevard Music Center Summer Festival,Civitas Ensemble,Menahem Pressler; Daniel Barenboim; Pinchas Zukerman; Lang Lang; Yo-Yo Ma,2011
Robert Chen,Violin,Robert Lipsett; Jascha Heifetz (master classes); Dorothy DeLay; Masao Kawasaki,Juilliard School,Hanover International Violin Competition (first prize),Aspen; Santa Fe; La Jolla; Schloss Moritzburg in Germany,Musicians from Marlboro; Johannes Quartet,Daniel Barenboim; Itzhak Perlman; Pinchas Zukerman; Yo-Yo Ma; Lang Lang; Christoph Eschenbach; Myung-Whun Chung; Emanuel Ax; Mitsuko Uchida; Lynn Harrell; Jnos Starker,1999
Stephanie Jeong,violin,Nicole DiCecco; Betty Haag-Kuhnke; Aaron Rosand; Cho-Liang Lin; Ronald Copes,Suzuki Program Music School; Betty Haag Academy of Music; Curtis Institute of Music; Juilliard School,2008 Paganini Violin Competition (Best Paganini Concerto Prize),,,,2011
Gina DiBello,violin,Desire Ruhstrat; David Cerone; Linda Cerone; Joel Smirnoff,Cleveland Institute of Music; Juilliard School,,Music of the Baroque,CSO Chamber Music series,Music of the Baroque,2016
Kozue Funakoshi,violin,Hideyuki Nimura; Joseph Genualdi; Sando Shia,Tokyo College of Music,All Japan Young Musicians Competition,Kurashiki Music Festival,Cleveland Orchestras chamber music series,,2000
So Young Bae,violin,Stephen Clapp; Sylvia Rosenberg,Juilliard School; Seoul National University,Busan Music Festival Competition; Korea-America National Competition; Nanpa Music Competition; Taegu Broadcasting Corporation Music Competition; Sejong University Music Competition,Aspen Music Festival; Verbier Music Festival; Sarasota Music Festival; Kneisel Hall Chamber Music Festival; Juilliard ChamberFest; Music Academy of the West,Emerson Quartet,Colin Carr; Christina Dahl,2012
Cornelius Chiu,Violin,Josef Gingold; Franco Gulli; Nelli Shkolnikova; Yuval Yaron,Indiana University Jacobs School of Music,Irving M. Klein International String Competition; National Arts and Letters Competition,Sarasota Music Festival; Aspen Music Festival; Rencontres Musicales Festival; Ravinia Festivals Steans Music Institute for Young Artists,CSO Chamber Music series at Northwestern University; Wheaton College Conservatory of Music; Roosevelt University,Frederic Chiu (brother),1996
Russell Hershow,violinist,Josef Gingold; Yuval Yaron; Joseph Fuchs,Juilliard School; Indiana University School of Music,,Baltimore Symphony Orchestra; Pittsburgh Symphony; Chicago Symphony Orchestra,Chicago Symphony Orchestra chamber group,,1987
Simon Michal,violin,Jaroslav Foltn; Glenn Dicterow; Sylvia Rosenberg; Lisa Kim,Prague Conservatory; Juilliard School; Manhattan School of Music,Kocian International Violin Competition; International Radio Competition Concertino Prague; Juilliard Concerto Competition,Verbier Festival; Music Academy of the West; Santa Fe Chamber Music Festival; Juilliard ChamberFest,,,2016
Matous Michal,violin,Ladislav Michal; Jaroslav Foltn; Glenn Dicterow; Lisa Kim,Prague Conservatory; Juilliard School; Manhattan School of Music,Dubai International Competition for Young Virtuosos,Verbier Festival Orchestra; Music Academy of the West Festival Orchestra,,,2016
Sando Shia,Violin,Jascha Heifetz,Central Conservatory of Music; Kent State University; UCLA,Josef Gingold Award at Kent/Blossom Music Festival,,,,1989
Qing Hou,violin,Not available,Central Conservatory of Music (Beijing); Peabody Institute; New England Conservatory,,Andover Chamber Music Society; Madison; Napa; El Paso; Sun Valley,Lincoln Quartet,Lei Hou; Lawrence Neuman,1997
Rong-Yan Tang,violin,Camilla Wicks; Donald Weilerstein,Shanghai Conservatory of Music; Louisiana State University; Cleveland Institute of Music,Fischoff National Chamber Music Competition; Yellow Springs National Chamber Music Competition,Carnegie Hall's Rising Stars series; New School's Schneider Concerts series; New York City's 92nd Street Y,Fry Street Quartet,,2003
Susan Synnestvedt,Violin,David Cerone,Detroit Community Music School; Cleveland Institute of Music; Curtis Institute of Music,,Meadowmount School for Strings; Taos Chamber Music Festival; Marlboro Chamber Music Festival; CSO Chamber Music series; Pick-Staiger Concert Hall in Evanston; Northwestern Universitys Winter Chamber Music Festival,violin-piano duo with her mother Jane Synnestvedt,Jane Synnestvedt,1986
Baird Dodge,Violin,Helen Kwalwasser; Gregory Fulkerson; Joyce Robbins,Juilliard School; Swarthmore College; State University of New York at Stony Brook,,Bravo! Colorado Festival; Taos Chamber Music Festival; Marlboro Music Festival,Chicago Symphony Orchestra; Chicago String Quartet; Colorado String Quartet,Daniel Barenboim; Isidore Cohen; Ida Kavafian,2002
Danny Yehun Jin,Violin,Ida Kavafian; Erin Keefe,Korean National University of Arts; Korean National School for the Gifted in Arts; Curtis Institute of Music,Menuhin Competition Beijing (2012); Charleston Symphony Orchestras Young Artist Competition (2016),Music Academy of the West Orchestra,Curtis Symphony Orchestra,,2023
Hermine Gagn,violin,Jacqueline S. David; Kathleen Winkler,Conservatoire de musique de Montral; Shepherd School of Music at Rice University,,MusicNOW,,,2003
Rachel Goldstein,violin,Felix Galimir; Isadore Tinkleman,State University of New York at Purchase; San Francisco Conservatory of Music,,,,,1989
Ni Mei,violin,Duoqin Xu; Shisheng Zhang; Zhinuo Ding; Kathleen Winkler,Shanghai Conservatory of Music; Pittsburg State University; Rice University,Pittsburg States Concerto and Aria Competition; Waddill Chamber Music Competition; Young Texas Artists Music Competition,,,,2009
Lei Hou,violinist,Daniel Barenboim; Mstislav Rostropovich,Shanghais Middle School of Music and Conservatory of Music; Peabody Conservatory of Johns Hopkins University,,Marlboro; Tanglewood; Sun City; Western Maryland; Sun Valley Summer Symphony; Ravinia Festivals Steans Music Institute,Manchester String Quartet; Lincoln Quartet,Pinchas Zukerman; Yefim Bronfman; members of the Guarneri and Alban Berg quartets,1997
Unknown,None,,,,,,,None
Melanie Kupchynsky,violin,Jerry Kupchynsky; Samuel Applebaum; Eric Rosenblith,New England Conservatory of Music,,Tanglewood Music Center,,,1989
Mihaela Ionescu,violin,tefan Gheorghiu; Cornelia Bronzetti; Tibor Varga; Andr Gertler,Ciprian Porumbescu Music Conservatory; Bern Music School and Conservatory,"Bucharest 1964; Bucharest 1976; Sion, Switzerland 1976; Sion, Switzerland 1978; International Tchaikovsky Competition 1978",Lucerne Festival Orchestra,Athenaeum Ensemble,,1987
Sylvia Kim Kilcullen,violinist,Carol Cole; Sergiu Schwartz; Pamela Frank; Ida Kavafian,Lynn University Conservatory of Music; Curtis Institute of Music,Henryk Szeryng International Violin Competition; Sarasate International Violin Competition,,,Gary Graffman; William Preucil; Peter Wiley,2012
Joyce Noh,violin,Jascha Brodsky; Ivan Galamian; Felix Galimir; Robert Mann,New School of Music in Philadelphia; University of MichiganAnn Arbor; Juilliard School,various competitions in Seoul,,CSO chamber music groups,,1979
Ronald Satkiewicz,violin,Carroll Glenn; Ivan Galamian; Albert Bernard; Mildred Bigelow,Eastman School of Music; Meadowmount School of Music; New England Conservatory Preparatory Division,,,Columbus String Quartet,Amy Stocker,1979
Catherine Brubaker,viola,William Lincer; Karen Tuttle; Masao Kawasaki,Juilliard School,,Dame Myra Hess Memorial Concerts series; Northwestern Universitys Winter Music Festival,CSOs MusicNOW; Chamber Music series,,1989
Youming Chen,viola,Riccardo Muti,University of Michigan; Juilliard School; University of Missouri-Kansas City,,Pacific Music; Aspen Music; Prussia Cove; Music@Menlo,International Chamber Artists,,125
Florence Schwartz,violin,Margaret Randall; David Cerone; Donald Weilerstein; Arnold Steinhardt; Felix Galimir; Angel Reyes; David Arben,Cleveland Institute of Music; Eastman School of Music; Mannes School of Music,Cleveland concerto competitions; National Music Camp in Interlochen; Aspen Music Festival,Aspen Music Festival,,,1989
Sunghee Choi,Violist,Choong-Jin Chang; Arnold Steinhardt,Seoul National University; New England Conservatory; Rutgers University,Rutgers Symphony Concerto Competition; Kumho Young Artists Award; Korean-American Young Artists Competition; Nanpa Awards for Strings,Beethoven Institute at New School; Sarasota Chamber Music Festival; Heifetz Institute; Spoleto Festival; Kuhmo Chamber Music Festival (Finland); Music Alps (France),Beaubliss Quartet,,2015
