"","when_began_current"
"1","1979"
"2","1979"
"3","1979"
"4","1979"
"5","1979"
"6","2011"
"7","1999"
"8","1999"
"9","1999"
"10","1999"
"11","2011"
"12","2011"
"13","2011"
"14","2011"
"15","2011"
"16","2016"
"17","2016"
"18","2016"
"19","2016"
"20","2000"
"21","2000"
"22","2000"
"23","2012"
"24","2012"
"25","1996"
"26","1996"
"27","1996"
"28","1996"
"29","1987"
"30","1987"
"31","1987"
"32","2016"
"33","2016"
"34","2016"
"35","2016"
"36","2016"
"37","2016"
"38","2016"
"39","2016"
"40","1989"
"41","1997"
"42","2003"
"43","2003"
"44","1986"
"45","2002"
"46","2002"
"47","2002"
"48","2023"
"49","2023"
"50","2003"
"51","2003"
"52","1989"
"53","1989"
"54","2009"
"55","2009"
"56","2009"
"57","2009"
"58","1997"
"59","1997"
"60","1989"
"61","1989"
"62","1989"
"63","1987"
"64","1987"
"65","1987"
"66","1987"
"67","2012"
"68","2012"
"69","2012"
"70","2012"
"71","1979"
"72","1979"
"73","1979"
"74","1979"
"75","1979"
"76","1979"
"77","1979"
"78","1979"
"79","1989"
"80","1989"
"81","1989"
"82","125"
"83","1989"
"84","1989"
"85","1989"
"86","1989"
"87","1989"
"88","1989"
"89","1989"
"90","2015"
"91","2015"
"92","2014"
"93","2014"
"94","2014"
"95","2014"
"96","2014"
"97","2012"
"98","1987"
"99","1987"
"100","1987"
"101","1991"
"102","1991"
"103","1991"
"104","1694"
"105","1694"
"106","2005"
"107","2005"
"108","2005"
"109","2012"
"110","2012"
"111","2012"
"112","2012"
"113","2011"
"114","2011"
"115","2011"
"116","2011"
"117","1989"
"118","1989"
"119","1989"
"120","2012"
"121","2012"
"122","2012"
"123","2012"
"124","2012"
"125","2017"
"126","2017"
"127","1987"
"128","1987"
"129","2016"
"130","2016"
"131","2016"
"132","2016"
"133","2016"
"134","2016"
"135","1974"
"136","1974"
"137","1993"
"138","1993"
"139","1993"
"140","1993"
"141","1984"
"142","2023"
"143","2023"
"144","2023"
"145","1962"
"146","1962"
"147","2015"
"148","2015"
"149","2015"
"150","2015"
"151","2015"
"152","2017"
"153","2017"
"154","2017"
"155","2005"
"156","2005"
"157","2005"
"158","2005"
"159","2005"
"160","2005"
"161","2005"
"162","2005"
"163","2009"
"164","2009"
"165","2009"
"166","2009"
"167","2009"
"168","2002"
"169","2002"
"170","2018"
"171","2018"
"172","2018"
"173","2018"
"174","2018"
"175","2002"
"176","2002"
"177","1977"
"178","1983"
"179","1977"
"180","1977"
"181","1977"
"182","2011"
"183","2011"
"184","2011"
"185","2011"
"186","2015"
"187","2015"
"188","2015"
"189","1992"
"190","1992"
"191","2013"
"192","2013"
"193","1995"
"194","2000"
"195","2000"
"196","2000"
"197","2000"
"198","2000"
"199","2006"
"200","2006"
"201","2006"
"202","2006"
"203","2000"
"204","2000"
"205","2000"
"206","1975"
"207","1994"
"208","2002"
"209","1971"
"210","1971"
"211","1971"
"212","1971"
"213","1991"
"214","1991"
"215","1991"
"216","1991"
"217","1989"
"218","1989"
"219","1989"
"220","1989"
"221","1989"
"222","1989"
"223","1989"
"224","2001"
"225","2001"
"226","2001"
"227","2013"
"228","2007"
"229","1986"
"230","1986"
"231","1986"
"232","1986"
"233","1986"
"234","2001"
"235","2001"
"236","2001"
"237","2023"
"238","2023"
"239","2023"
"240","2023"
"241","2023"
"242","1984"
"243","1984"
"244","1984"
"245","1984"
"246","1984"
"247","2022"
"248","2022"
"249","2022"
"250","2021"
"251","2017"
"252","2017"
"253","1995"
"254","2011"
"255","2011"
"256","2011"
"257","2011"
"258","2011"
"259","2011"
"260","1994"
"261","1994"
"262","2016"
"263","2016"
"264","1978"
"265","2011"
"266","2011"
"267","2011"
"268","1981"
"269","2017"
"270","2017"
"271","2017"
"272","2017"
"273","2017"
"274","2017"
"275","1981"
"276","2010"
"277","2010"
"278","2010"
"279","2010"
"280","2019"
"281","2019"
"282","2017"
"283","2017"
"284","2022"
"285","2022"
"286","2022"
"287","2022"
"288","2022"
"289","2019"
"290","2019"
"291","2019"
"292","2019"
"293","1977"
"294","1977"
"295","1977"
"296","1977"
"297","1977"
"298","1977"
"299","2019"
"300","2019"
"301","2019"
"302","2019"
"303","2005"
"304","2005"
"305","2005"
"306","1994"
"307","1983"
"308","1983"
"309","2005"
"310","2005"
"311","2005"
"312","2017"
"313","2017"
"314","2010"
"315","2010"
"316","2010"
"317","2010"
"318","2010"
"319","2010"
"320","2010"
"321","2010"
"322","2010"
"323","2010"
"324","2010"
"325","2010"
"326","2010"
"327","2010"
"328","1999"
"329","1999"
"330","1999"
"331","1999"
"332","15"
"333","15"
"334","15"
"335","0"
"336","0"
"337","0"
"338","2012"
"339","1986"
"340","1986"
"341","1986"
"342","2014"
"343","2017"
"344","2017"
"345","2017"
"346","2017"
"347","2017"
"348","2017"
"349","2017"
"350","2017"
"351","2017"
"352","2017"
"353","2017"
"354","2014"
"355","2019"
"356","2020"
"357","2020"
"358","2004"
"359","2004"
"360","2004"
"361","2004"
"362","1980"
"363","1980"
"364","1980"
"365","1984"
"366","1991"
"367","1991"
"368","1991"
"369","1991"
"370","1991"
"371","1991"
"372","2012"
"373","2012"
"374","2012"
"375","2012"
"376","2012"
"377","1999"
"378","1999"
"379","1999"
"380","1999"
"381","2012"
"382","2012"
"383","2012"
"384","2012"
"385","2012"
"386","1999"
"387","1999"
"388","1999"
"389","1999"
"390","1986"
"391","1986"
"392","1986"
"393","1986"
"394","1994"
"395","1994"
"396","1994"
"397","1994"
"398","1994"
"399","1994"
"400","1994"
"401","1994"
"402","1994"
"403","1994"
"404","1994"
"405","1994"
"406","1994"
"407","1994"
"408","1994"
"409","1994"
"410","1994"
"411","1994"
"412","1994"
"413","1994"
"414","1997"
"415","1993"
"416","2016"
"417","2016"
"418","2016"
"419","2016"
"420","2016"
"421","1982"
"422","1982"
"423","1982"
"424","1985"
"425","1985"
"426","2004"
"427","2004"
"428","2004"
"429","2004"
"430","2004"
"431","1996"
"432","1996"
"433","1996"
"434","1996"
"435","1996"
"436","1996"
"437","1999"
"438","1999"
"439","1999"
"440","1984"
"441","2000"
"442","2000"
"443","2000"
"444","2000"
"445","2000"
"446","1990"
"447","1990"
"448","1990"
"449","2017"
"450","2017"
"451","1974"
"452","1974"
"453","1974"
"454","1974"
"455","1974"
"456","1974"
"457","1974"
"458","1974"
"459","2013"
"460","2013"
"461","2013"
"462","2015"
"463","1996"
"464","1996"
"465","1996"
"466","1996"
"467","1996"
"468","2021"
"469","2021"
"470","2021"
"471","2021"
"472","2021"
"473","2021"
"474","2003"
"475","2012"
"476","2012"
"477","2012"
"478","2012"
"479","2006"
"480","2006"
"481","1988"
"482","2018"
"483","2018"
"484","2018"
"485","2014"
"486","2014"
"487","2014"
"488","2014"
"489","2014"
"490","2014"
"491","2010"
"492","2010"
"493","2010"
"494","1996"
"495","1996"
"496","1996"
"497","2018"
"498","2018"
"499","2018"
"500","2018"
"501","2018"
"502","2018"
"503","2018"
"504","2018"
"505","2018"
"506","2018"
"507","2018"
"508","2018"
"509","2018"
"510","2018"
"511","2014"
"512","2014"
"513","2014"
"514","2014"
"515","2012"
"516","2012"
"517","2012"
"518","2012"
"519","2012"
"520","2021"
"521","2021"
"522","2021"
"523","2021"
"524","2021"
"525","2021"
"526","2021"
"527","2008"
"528","2008"
"529","2003"
"530","2003"
"531","2003"
"532","2003"
"533","2003"
"534","2016"
"535","2016"
"536","0"
"537","0"
"538","0"
"539","0"
"540","2017"
"541","2017"
"542","2017"
"543","2017"
"544","2017"
"545","1999"
"546","1993"
"547","1993"
"548","1993"
"549","1993"
"550","2007"
"551","2015"
"552","2015"
"553","2015"
"554","2015"
"555","2015"
"556","2015"
"557","2015"
"558","2015"
"559","1985"
"560","1985"
"561","1985"
"562","1985"
"563","1985"
"564","1985"
"565","1985"
"566","1985"
"567","2001"
"568","1995"
"569","1995"
"570","1995"
"571","2020"
"572","2019"
"573","2019"
"574","2019"
"575","2019"
"576","2019"
"577","2019"
"578","2023"
"579","2011"
"580","2011"
"581","2011"
"582","2011"
"583","1989"
"584","1997"
"585","1997"
"586","1997"
"587","1997"
"588","1997"
"589","1997"
"590","2015"
"591","2010"
"592","2010"
"593","1980"
"594","1980"
"595","1980"
"596","1980"
"597","1995"
"598","1995"
"599","1969"
"600","1969"
"601","1969"
"602","1969"
"603","1969"
"604","1969"
"605","1986"
"606","1989"
"607","1989"
"608","1989"
"609","1997"
"610","1997"
"611","1999"
"612","1999"
"613","1999"
"614","2022"
"615","2022"
"616","2022"
"617","2022"
"618","2022"
"619","2022"
"620","2022"
"621","2022"
"622","2022"
"623","2022"
"624","2017"
"625","2017"
"626","2000"
"627","2000"
"628","2000"
"629","2000"
"630","2000"
"631","1980"
"632","1975"
"633","1975"
"634","1975"
"635","1975"
"636","1975"
"637","1995"
"638","1995"
"639","1995"
"640","1987"
"641","1987"
"642","1987"
"643","3"
"644","3"
"645","3"
"646","1994"
"647","1994"
"648","1994"
"649","2006"
"650","2006"
"651","2006"
"652","2011"
"653","2011"
"654","2011"
"655","2011"
"656","2016"
"657","2016"
"658","2016"
"659","2016"
"660","1996"
"661","1996"
"662","2022"
"663","2022"
"664","2022"
"665","2022"
"666","2000"
"667","2000"
"668","2016"
"669","2016"
"670","2001"
"671","1973"
"672","1989"
"673","1989"
"674","1989"
"675","2018"
"676","2018"
"677","2018"
"678","2018"
"679","2013"
"680","2013"
"681","2013"
"682","2013"
"683","2019"
"684","2019"
"685","2019"
"686","2019"
"687","2019"
"688","2019"
"689","2019"
"690","2019"
"691","2019"
"692","2019"
"693","2019"
"694","2019"
"695","2015"
"696","2015"
"697","2015"
"698","2015"
"699","2015"
"700","2018"
"701","2018"
"702","2018"
"703","2010"
"704","2010"
"705","2010"
"706","2004"
"707","2004"
"708","2004"
"709","2004"
"710","2004"
"711","1991"
"712","1991"
"713","1991"
"714","1991"
"715","2001"
"716","2001"
"717","2001"
"718","2008"
